file,count
1,794
2,206
3,104
34,67
4,56
5,25
6,20
7,14
9,10
35,6
39,6
8,5
36,3
47,3
11,3
0,2
10,2
19,2
13,2
37,2
49,2
127,1
42,1
60,1
15,1
69,1
29,1
18,1
44,1
24,1
16,1
53,1
12,1
38,1
14,1
22,1
